Order,Topic_Order,Topic,Subtopic,Problem_Name,Difficulty,LeetCode_URL,YouTube_URL
53,1,"Learn the basics","Learn Basic Hashing","Counting Frequencies of Array Elements",Easy,"",""
54,1,"Learn the basics","Learn Basic Hashing","Highest Occurring Element in an Array",Easy,"https://leetcode.com/problems/frequency-of-the-most-frequent-element/",""
55,2,"Learn Important Sorting Techniques","Sorting-I","Selection Sort",Easy,"","https://youtu.be/HGk_ypEuS24?t=167"
56,2,"Learn Important Sorting Techniques","Sorting-I","Bubble Sort",Easy,"","https://youtu.be/HGk_ypEuS24?t=1061"
57,2,"Learn Important Sorting Techniques","Sorting-I","Insertion Sorting",Easy,"","https://youtu.be/HGk_ypEuS24?t=1900"
58,2,"Learn Important Sorting Techniques","Sorting-II","Merge Sorting",Medium,"","https://youtu.be/ogjf7ORKfd8"
59,2,"Learn Important Sorting Techniques","Sorting-II","Recursive Bubble Sort",Easy,"",""
60,2,"Learn Important Sorting Techniques","Sorting-II","Recursive Insertion Sort",Easy,"",""
61,2,"Learn Important Sorting Techniques","Sorting-II","Quick Sorting",Easy,"","https://youtu.be/WIrA4YexLRQ"
62,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Largest Element ",Easy,"","https://youtu.be/37E9ckMDdTk?t=526"
63,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Second Largest Element",Easy,"","https://youtu.be/37E9ckMDdTk?t=810"
64,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Check if the Array is Sorted II",Easy,"https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/#:~:text=Input%3A%20nums%20%3D%20%5B2%2C,no%20rotation)%20to%20make%20nums.","https://youtu.be/37E9ckMDdTk?t=17224"
65,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Remove duplicates from Sorted array",Easy,"https://leetcode.com/problems/remove-duplicates-from-sorted-array/#:~:text=Input%3A%20nums%20%3D%20%5B0%2C,%2C%203%2C%20and%204%20respectively.","https://youtu.be/37E9ckMDdTk?t=1887"
66,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Left Rotate Array by One",Easy,"https://leetcode.com/problems/rotate-array/","https://youtu.be/wvcQg43_V8U?t=61"
67,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Left Rotate Array by K Places",Easy,"https://leetcode.com/problems/rotate-array/","https://youtu.be/wvcQg43_V8U?t=485"
68,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Move Zeros to End",Easy,"https://leetcode.com/problems/move-zeroes/","https://youtu.be/wvcQg43_V8U?t=1633"
69,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Linear Search",Easy,"","https://youtu.be/wvcQg43_V8U?t=2465"
70,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Union of two sorted arrays",Easy,"","https://youtu.be/wvcQg43_V8U?t=2584"
71,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Find missing number",Easy,"",""
72,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Maximum Consecutive Ones",Easy,"https://leetcode.com/problems/max-consecutive-ones/","https://youtu.be/bYWLJb3vCWY?t=1124"
73,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Find the number that appears once, and other numbers twice.",Medium,"https://leetcode.com/problems/single-number/","https://youtu.be/bYWLJb3vCWY?t=1369"
74,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Longest subarray with given sum K(positives)",Medium,"","https://www.youtube.com/watch?v=frf7qxiN2qU&feature=youtu.be"
75,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Easy","Longest subarray with sum K",Medium,"","https://youtu.be/frf7qxiN2qU"
76,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Two Sum",Easy,"https://leetcode.com/problems/two-sum/","https://youtu.be/UXDSeD9mN-k"
77,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Sort an array of 0's 1's and 2's",Medium,"https://leetcode.com/problems/sort-colors/","https://youtu.be/tp8JIuCXBaU"
78,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Majority Element-I",Easy,"https://leetcode.com/problems/majority-element/","https://youtu.be/nP_ns3uSh80"
79,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Kadane's Algorithm",Medium,"https://leetcode.com/problems/maximum-subarray/","https://youtu.be/AHZpyENo7k4?si=QJpof4R1hHokm1hw"
80,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Print subarray with maximum subarray sum (extended version of above problem)",Medium,"","https://youtu.be/AHZpyENo7k4"
81,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Stock Buy and Sell",Medium,"https://leetcode.com/problems/best-time-to-buy-and-sell-stock/","https://youtu.be/excAOvwF_Wk"
82,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Rearrange array elements by sign",Medium,"https://leetcode.com/problems/rearrange-array-elements-by-sign/","https://youtu.be/h4aBagy4Uok"
83,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Next Permutation",Medium,"https://leetcode.com/problems/next-permutation/","https://youtu.be/JDOXKqF60RQ"
84,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Leaders in an Array",Medium,"","https://youtu.be/cHrH9CQ8pmY"
85,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Longest Consecutive Sequence in an Array",Medium,"https://leetcode.com/problems/longest-consecutive-sequence/solution/","https://youtu.be/oO5uLE7EUlM"
86,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Set Matrix Zeroes",Medium,"https://leetcode.com/problems/set-matrix-zeroes/","https://youtu.be/N0MgLvceX7M"
87,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Rotate matrix by 90 degrees",Medium,"https://leetcode.com/problems/rotate-image/","https://youtu.be/Z0R2u6gd3GU"
88,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Print the matrix in spiral manner",Medium,"https://leetcode.com/problems/spiral-matrix/","https://youtu.be/3Zv-s9UUrFM"
89,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Medium","Count subarrays with given sum",Medium,"https://leetcode.com/problems/subarray-sum-equals-k/","https://www.youtube.com/watch?v=xvNwoz-ufXA&list=PLgUwDviBIf0oF6QL8m22w1hIDC1vJ_BHz&index=32"
90,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Pascal's Triangle I",Easy,"https://leetcode.com/problems/pascals-triangle/","https://youtu.be/bR7mQgwQ_o8"
91,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Majority Element-II",Hard,"https://leetcode.com/problems/majority-element-ii/","https://youtu.be/vwZj1K0e9U8"
92,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","3 Sum",Medium,"https://leetcode.com/problems/3sum/","https://youtu.be/DhFh8Kw7ymk"
93,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","4 Sum",Medium,"https://leetcode.com/problems/4sum/","https://youtu.be/eD95WRfh81c"
94,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Largest Subarray with Sum 0",Medium,"","https://www.youtube.com/watch?v=xmguZ6GbatA&list=PLgUwDviBIf0p4ozDR_kJJkONnb1wdx2Ma&index=23"
95,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Count subarrays with given xor K",Hard,"","https://youtu.be/eZr-6p0B7ME"
96,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Merge Overlapping Subintervals",Medium,"https://leetcode.com/problems/merge-intervals/","https://youtu.be/IexN60k62jo"
97,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Merge two sorted arrays without extra space",Medium,"https://leetcode.com/problems/merge-sorted-array/","https://youtu.be/n7uwj04E0I4"
98,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Find the repeating and missing number",Hard,"","https://youtu.be/2D0D8HE6uak"
99,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Count Inversions",Hard,"","https://youtu.be/AseUmwVNaoY"
100,3,"Solve Problems on Arrays [Easy -> Medium -> Hard]","Hard","Reverse Pairs",Hard,"https://leetcode.com/problems/reverse-pairs/","https://youtu.be/0e4bZaP3MDI"
