ID,Problem Name,Topic,Difficulty,LeetCode URL,YouTube URL
54,"Highest Occurring Element in an Array","Learn the basics",Easy,"https://leetcode.com/problems/frequency-of-the-most-frequent-element/",""
55,"Selection Sort","Learn Important Sorting Techniques",Easy,"","https://youtu.be/HGk_ypEuS24?t=167"
56,"Bubble Sort","Learn Important Sorting Techniques",Easy,"","https://youtu.be/HGk_ypEuS24?t=1061"
57,"Insertion Sorting","Learn Important Sorting Techniques",Easy,"","https://youtu.be/HGk_ypEuS24?t=1900"
58,"Merge Sorting","Learn Important Sorting Techniques",Medium,"","https://youtu.be/ogjf7ORKfd8"
59,"Recursive Bubble Sort","Learn Important Sorting Techniques",Easy,"",""
60,"Recursive Insertion Sort","Learn Important Sorting Techniques",Easy,"",""
61,"Quick Sorting","Learn Important Sorting Techniques",Easy,"","https://youtu.be/WIrA4YexLRQ"
62,"Largest Element ","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"","https://youtu.be/37E9ckMDdTk?t=526"
63,"Second Largest Element","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"","https://youtu.be/37E9ckMDdTk?t=810"
64,"Check if the Array is Sorted II","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/#:~:text=Input%3A%20nums%20%3D%20%5B2%2C,no%20rotation)%20to%20make%20nums.","https://youtu.be/37E9ckMDdTk?t=17224"
65,"Remove duplicates from Sorted array","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"https://leetcode.com/problems/remove-duplicates-from-sorted-array/#:~:text=Input%3A%20nums%20%3D%20%5B0%2C,%2C%203%2C%20and%204%20respectively.","https://youtu.be/37E9ckMDdTk?t=1887"
66,"Left Rotate Array by One","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"https://leetcode.com/problems/rotate-array/","https://youtu.be/wvcQg43_V8U?t=61"
67,"Left Rotate Array by K Places","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"https://leetcode.com/problems/rotate-array/","https://youtu.be/wvcQg43_V8U?t=485"
68,"Move Zeros to End","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"https://leetcode.com/problems/move-zeroes/","https://youtu.be/wvcQg43_V8U?t=1633"
69,"Linear Search","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"","https://youtu.be/wvcQg43_V8U?t=2465"
70,"Union of two sorted arrays","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"","https://youtu.be/wvcQg43_V8U?t=2584"
71,"Find missing number","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"",""
72,"Maximum Consecutive Ones","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"https://leetcode.com/problems/max-consecutive-ones/","https://youtu.be/bYWLJb3vCWY?t=1124"
73,"Find the number that appears once, and other numbers twice.","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/single-number/","https://youtu.be/bYWLJb3vCWY?t=1369"
74,"Longest subarray with given sum K(positives)","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"","https://www.youtube.com/watch?v=frf7qxiN2qU&feature=youtu.be"
75,"Longest subarray with sum K","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"","https://youtu.be/frf7qxiN2qU"
76,"Two Sum","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"https://leetcode.com/problems/two-sum/","https://youtu.be/UXDSeD9mN-k"
77,"Sort an array of 0's 1's and 2's","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/sort-colors/","https://youtu.be/tp8JIuCXBaU"
78,"Majority Element-I","Solve Problems on Arrays [Easy -> Medium -> Hard]",Easy,"https://leetcode.com/problems/majority-element/","https://youtu.be/nP_ns3uSh80"
79,"Kadane's Algorithm","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/maximum-subarray/","https://youtu.be/AHZpyENo7k4?si=QJpof4R1hHokm1hw"
80,"Print subarray with maximum subarray sum (extended version of above problem)","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"","https://youtu.be/AHZpyENo7k4"
81,"Stock Buy and Sell","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/best-time-to-buy-and-sell-stock/","https://youtu.be/excAOvwF_Wk"
82,"Rearrange array elements by sign","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/rearrange-array-elements-by-sign/","https://youtu.be/h4aBagy4Uok"
83,"Next Permutation","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/next-permutation/","https://youtu.be/JDOXKqF60RQ"
84,"Leaders in an Array","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"","https://youtu.be/cHrH9CQ8pmY"
85,"Longest Consecutive Sequence in an Array","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/longest-consecutive-sequence/solution/","https://youtu.be/oO5uLE7EUlM"
86,"Set Matrix Zeroes","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/set-matrix-zeroes/","https://youtu.be/N0MgLvceX7M"
87,"Rotate matrix by 90 degrees","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/rotate-image/","https://youtu.be/Z0R2u6gd3GU"
88,"Print the matrix in spiral manner","Solve Problems on Arrays [Easy -> Medium -> Hard]",Medium,"https://leetcode.com/problems/spiral-matrix/","https://youtu.be/3Zv-s9UUrFM"
